id,booking_date,checkin_date,checkout_date,nights,rooms,guests,market_id,channel_id,campaign_id,room_revenue,adr,lead_time_days,status
1870,2024-08-03,2024-08-25,2024-09-01,7,1,2,1,6,,1791.23,255.89,22,confirmed
1899,2024-07-27,2024-08-27,2024-09-01,5,1,2,7,1,,1521.05,304.21,31,confirmed
1901,2024-07-23,2024-08-27,2024-09-02,6,1,3,1,4,,1593.78,265.63,35,confirmed
1911,2024-08-18,2024-08-27,2024-09-01,5,1,1,1,6,,1078.65,215.73,9,confirmed
1914,2024-08-23,2024-08-27,2024-09-04,8,1,1,5,6,,2675.92,334.49,4,confirmed
1915,2024-08-12,2024-08-27,2024-09-02,6,1,1,10,6,,1599.96,266.66,15,confirmed
1919,2024-08-04,2024-08-28,2024-09-05,8,1,2,2,1,,2409.12,301.14,24,confirmed
1927,2024-08-24,2024-08-28,2024-09-01,4,1,1,4,1,,1135.16,283.79,4,confirmed
1928,2024-07-07,2024-08-28,2024-09-01,4,1,3,4,1,,1238.88,309.72,52,confirmed
1931,2024-07-12,2024-08-28,2024-09-01,4,1,3,6,2,,1129.56,282.39,47,cancelled
1933,2024-08-18,2024-08-28,2024-09-01,4,1,3,2,4,,1328.24,332.06,10,confirmed
1952,2024-08-18,2024-08-29,2024-09-01,3,1,1,1,1,,835.35,278.45,11,confirmed
1953,2024-07-21,2024-08-29,2024-09-01,3,1,3,1,1,,833.16,277.72,39,confirmed
1954,2024-07-09,2024-08-29,2024-09-01,3,1,3,1,3,,915.96,305.32,51,confirmed
1958,2024-08-24,2024-08-29,2024-09-01,3,1,2,1,5,,761.82,253.94,5,confirmed
1960,2024-08-25,2024-08-29,2024-09-03,5,1,3,8,6,,1343.25,268.65,4,confirmed
1963,2024-08-21,2024-08-29,2024-09-01,3,1,3,1,6,,758.04,252.68,8,confirmed
1967,2024-07-25,2024-08-29,2024-09-02,4,1,2,1,6,,1231.08,307.77,35,confirmed
1969,2024-08-17,2024-08-30,2024-09-03,4,1,1,9,1,,1141.32,285.33,13,cancelled
1970,2024-08-16,2024-08-30,2024-09-01,2,1,1,4,1,,669.8,334.9,14,confirmed
1973,2024-06-20,2024-08-30,2024-09-03,4,1,1,9,1,,1221.56,305.39,71,confirmed
1974,2024-08-05,2024-08-30,2024-09-01,2,1,2,2,1,,606.5,303.25,25,confirmed
1975,2024-08-18,2024-08-30,2024-09-01,2,1,1,1,1,,610.04,305.02,12,confirmed
1976,2024-07-29,2024-08-30,2024-09-01,2,1,3,2,2,,548.48,274.24,32,confirmed
1977,2024-08-10,2024-08-30,2024-09-01,2,1,1,11,2,,645.0,322.5,20,confirmed
1978,2024-06-20,2024-08-30,2024-09-01,2,1,3,4,2,,604.7,302.35,71,confirmed
1979,2024-06-17,2024-08-30,2024-09-01,2,1,2,1,2,,613.52,306.76,74,confirmed
1980,2024-07-24,2024-08-30,2024-09-02,3,1,2,4,2,,915.33,305.11,37,confirmed
1981,2024-06-09,2024-08-30,2024-09-01,2,1,2,5,2,,591.1,295.55,82,confirmed
1984,2024-08-28,2024-08-30,2024-09-01,2,1,3,1,2,,640.58,320.29,2,confirmed
1986,2024-08-21,2024-08-30,2024-09-02,3,1,1,1,2,,973.8,324.6,9,confirmed
1988,2024-08-19,2024-08-30,2024-09-03,4,1,2,1,2,,1128.12,282.03,11,confirmed
1989,2024-08-16,2024-08-30,2024-09-03,4,1,1,10,3,,1363.2,340.8,14,confirmed
1990,2024-08-20,2024-08-30,2024-09-02,3,1,3,5,4,,997.02,332.34,10,confirmed
1992,2024-07-21,2024-08-30,2024-09-01,2,1,3,1,4,,641.24,320.62,40,confirmed
1997,2024-08-02,2024-08-30,2024-09-01,2,1,2,7,6,,647.96,323.98,28,confirmed
1998,2024-08-10,2024-08-30,2024-09-02,3,1,3,1,6,,786.48,262.16,20,confirmed
2000,2024-08-12,2024-08-30,2024-09-01,2,1,1,5,6,,546.04,273.02,18,confirmed
2001,2024-08-15,2024-08-30,2024-09-01,2,1,1,9,6,,568.72,284.36,15,confirmed
2002,2024-08-13,2024-08-30,2024-09-02,3,1,1,2,6,,947.88,315.96,17,confirmed
2004,2024-07-30,2024-08-30,2024-09-01,2,1,1,7,6,,579.56,289.78,31,cancelled
2008,2024-06-11,2024-08-31,2024-09-01,1,1,3,10,1,,302.83,302.83,81,confirmed
2009,2024-08-07,2024-08-31,2024-09-01,1,1,3,1,1,,318.0,318.0,24,cancelled
2010,2024-08-07,2024-08-31,2024-09-01,1,1,1,7,1,,313.5,313.5,24,confirmed
2011,2024-07-08,2024-08-31,2024-09-01,1,1,3,2,1,,345.99,345.99,54,confirmed
2012,2024-08-20,2024-08-31,2024-09-04,4,1,2,6,1,,1291.52,322.88,11,confirmed
2013,2024-07-30,2024-08-31,2024-09-01,1,1,2,1,1,,351.8,351.8,32,confirmed
2014,2024-08-22,2024-08-31,2024-09-01,1,1,3,6,1,,298.92,298.92,9,confirmed
2015,2024-08-21,2024-08-31,2024-09-04,4,1,1,4,1,,1301.6,325.4,10,confirmed
2016,2024-08-14,2024-08-31,2024-09-01,1,1,2,9,1,,312.76,312.76,17,confirmed
2017,2024-07-24,2024-08-31,2024-09-03,3,1,1,2,2,,985.44,328.48,38,confirmed
2018,2024-08-22,2024-08-31,2024-09-04,4,1,1,1,2,,1133.44,283.36,9,confirmed
2019,2024-08-15,2024-08-31,2024-09-03,3,1,3,2,2,,894.3,298.1,16,confirmed
2020,2024-07-07,2024-08-31,2024-09-04,4,1,3,5,2,,1169.52,292.38,55,confirmed
2021,2024-07-23,2024-08-31,2024-09-04,4,1,3,2,2,,1374.56,343.64,39,confirmed
2022,2024-06-01,2024-08-31,2024-09-02,2,1,1,8,2,,713.54,356.77,91,confirmed
2023,2024-07-28,2024-08-31,2024-09-01,1,1,2,3,2,,265.01,265.01,34,confirmed
2024,2024-07-29,2024-08-31,2024-09-02,2,1,1,5,3,,596.7,298.35,33,confirmed
2025,2024-08-06,2024-08-31,2024-09-02,2,1,3,1,4,,632.58,316.29,25,confirmed
2026,2024-08-18,2024-08-31,2024-09-01,1,1,2,3,4,,292.02,292.02,13,confirmed
2027,2024-07-30,2024-08-31,2024-09-02,2,1,2,8,4,,632.44,316.22,32,confirmed
2028,2024-07-17,2024-08-31,2024-09-01,1,1,2,2,4,,292.12,292.12,45,confirmed
2029,2024-07-17,2024-08-31,2024-09-02,2,1,3,1,4,,689.1,344.55,45,confirmed
