date,campaign_id,spend,impressions,clicks,sessions,bookings,revenue
2024-09-09,1,277.63,3476,146,132,1,743.46
2024-09-10,1,249.37,3119,131,109,2,1033.19
2024-09-11,1,187.76,2333,98,84,0,0.0
2024-09-12,1,271.95,3404,143,121,6,3643.29
2024-09-13,1,317.6,3976,167,142,0,0.0
2024-09-14,1,278.29,3476,146,135,1,669.3
2024-09-15,1,269.52,3357,141,116,4,2660.28
2024-09-16,1,177.65,2214,93,83,3,2868.66
2024-09-17,1,337.14,4214,177,145,4,1011.15
2024-09-18,1,309.98,3880,163,142,6,3180.59
2024-09-19,1,226.94,2833,119,111,4,1525.47
2024-09-20,1,270.91,3380,142,122,4,2244.67
2024-09-21,1,277.76,3476,146,131,5,1530.19
2024-09-22,1,256.48,3190,134,121,1,498.4
2024-09-23,1,271.81,3404,143,126,1,570.92
2024-09-24,1,207.69,2595,109,90,1,839.13
2024-09-25,1,211.61,2642,111,98,1,297.2
2024-09-26,1,266.18,3333,140,119,4,2501.51
2024-09-27,1,283.57,3547,149,125,0,0.0
2024-09-28,1,261.64,3261,137,114,1,730.47
2024-09-29,1,199.29,2476,104,93,0,0.0
2024-09-30,1,215.92,2690,113,101,4,2208.23
2024-10-01,1,363.7,4547,191,162,1,274.47
2024-10-02,1,152.73,1904,80,75,1,284.27
2024-10-03,1,172.0,2142,90,80,2,1006.19
2024-10-04,1,216.77,2714,114,100,2,1085.77
2024-10-05,1,258.96,3238,136,119,1,268.67
2024-10-06,1,277.66,3476,146,125,2,1032.83
2024-10-07,1,272.09,3404,143,121,1,665.01
2024-10-08,1,219.81,2738,115,100,2,486.31
2024-10-09,1,277.19,3452,145,134,2,1475.68
2024-10-10,1,270.07,3380,142,130,1,487.32
2024-10-11,1,288.49,3595,151,137,2,2783.13
2024-10-12,1,299.41,3738,157,137,1,1937.84
2024-10-13,1,216.13,2690,113,102,2,1187.36
2024-10-14,1,250.87,3142,132,115,1,205.0
2024-10-15,1,168.43,2095,88,74,1,273.91
2024-10-16,1,293.48,3666,154,142,4,1851.05
2024-10-17,1,186.49,2333,98,86,0,0.0
