date,channel_id,sessions,users,bookings,revenue,spend,impressions,clicks
2024-09-01,1,666,530,15,8081.92,0.0,0,0
2024-09-01,2,297,240,8,4566.83,0.0,0,0
2024-09-01,3,235,193,2,1186.79,0.0,0,0
2024-09-01,4,95,75,3,1868.19,0.0,0,0
2024-09-01,5,141,110,4,3438.7,0.0,0,0
2024-09-01,6,0,0,8,4418.61,0.0,0,0
2024-09-01,7,69,54,1,540.62,0.0,0,0
2024-09-02,1,177,138,2,2929.69,0.0,0,0
2024-09-02,2,218,183,5,4294.41,0.0,0,0
2024-09-02,3,17,14,0,0.0,0.0,0,0
2024-09-02,4,77,61,2,1149.0,0.0,0,0
2024-09-02,5,80,64,2,528.81,0.0,0,0
2024-09-02,6,0,0,4,2241.31,0.0,0,0
2024-09-02,7,132,104,2,1402.56,0.0,0,0
2024-09-03,1,380,300,6,4731.13,0.0,0,0
2024-09-03,2,118,92,2,504.13,0.0,0,0
2024-09-03,3,17,13,0,0.0,0.0,0,0
2024-09-03,4,94,73,3,812.37,0.0,0,0
2024-09-03,5,95,74,3,2312.91,0.0,0,0
2024-09-03,6,0,0,8,6771.18,0.0,0,0
2024-09-03,7,20,15,0,0.0,0.0,0,0
2024-09-04,1,204,162,3,1674.6,0.0,0,0
2024-09-04,2,118,100,2,1480.5,0.0,0,0
2024-09-04,3,132,104,1,571.34,0.0,0,0
2024-09-04,4,73,60,2,2249.68,0.0,0,0
2024-09-04,5,107,89,3,1475.33,0.0,0,0
2024-09-04,6,0,0,8,4172.93,0.0,0,0
2024-09-04,7,20,15,0,0.0,0.0,0,0
2024-09-05,1,336,263,6,2906.35,0.0,0,0
2024-09-05,2,435,342,10,7862.02,0.0,0,0
2024-09-05,3,17,14,0,0.0,0.0,0,0
2024-09-05,4,31,26,0,0.0,0.0,0,0
2024-09-05,5,24,19,0,0.0,0.0,0,0
2024-09-05,6,0,0,3,1131.06,0.0,0,0
2024-09-05,7,134,112,2,1382.73,0.0,0,0
2024-09-06,1,319,259,6,3335.78,0.0,0,0
2024-09-06,2,232,188,6,4803.82,0.0,0,0
2024-09-06,3,272,228,2,556.63,0.0,0,0
2024-09-06,4,31,24,0,0.0,0.0,0,0
2024-09-06,5,51,39,1,934.65,0.0,0,0
2024-09-06,6,0,0,11,9796.35,0.0,0,0
2024-09-06,7,200,159,3,1871.56,0.0,0,0
2024-09-07,1,386,301,8,6416.43,0.0,0,0
2024-09-07,2,185,150,4,2266.69,0.0,0,0
2024-09-07,3,246,194,2,3433.41,0.0,0,0
2024-09-07,4,129,107,5,2412.44,0.0,0,0
2024-09-07,5,52,43,1,640.18,0.0,0,0
2024-09-07,6,0,0,8,5428.94,0.0,0,0
2024-09-07,7,258,202,4,1481.16,0.0,0,0
2024-09-08,1,292,241,5,3206.89,0.0,0,0
2024-09-08,2,80,62,1,739.5,0.0,0,0
2024-09-08,3,147,118,1,559.58,0.0,0,0
