date,market_id,sessions,bookings,revenue
2024-09-01,1,444,12,6995.79
2024-09-01,2,210,5,2230.5
2024-09-01,3,125,4,2852.58
2024-09-01,4,134,2,1579.92
2024-09-01,5,95,3,1845.06
2024-09-01,6,93,1,490.06
2024-09-01,7,83,2,1390.11
2024-09-01,8,75,4,2092.03
2024-09-01,9,110,2,916.12
2024-09-01,10,79,4,2206.77
2024-09-01,11,46,1,869.04
2024-09-01,12,28,1,633.68
2024-09-02,1,191,12,9274.48
2024-09-02,2,97,0,0.0
2024-09-02,3,61,1,598.38
2024-09-02,4,60,3,1574.16
2024-09-02,5,40,0,0.0
2024-09-02,6,43,0,0.0
2024-09-02,7,36,0,0.0
2024-09-02,8,35,0,0.0
2024-09-02,9,49,1,1098.76
2024-09-02,10,36,0,0.0
2024-09-02,11,22,0,0.0
2024-09-02,12,13,0,0.0
2024-09-03,1,200,6,2486.66
2024-09-03,2,113,4,2591.46
2024-09-03,3,58,1,858.96
2024-09-03,4,66,2,890.81
2024-09-03,5,41,0,0.0
2024-09-03,6,46,1,222.9
2024-09-03,7,36,2,2799.34
2024-09-03,8,38,1,864.6
2024-09-03,9,52,4,3400.94
2024-09-03,10,33,1,1016.05
2024-09-03,11,21,0,0.0
2024-09-03,12,14,0,0.0
2024-09-04,1,184,5,2931.1
2024-09-04,2,88,3,2501.02
2024-09-04,3,56,2,1043.49
2024-09-04,4,61,1,954.78
2024-09-04,5,39,0,0.0
2024-09-04,6,37,0,0.0
2024-09-04,7,30,3,906.81
2024-09-04,8,32,1,265.77
2024-09-04,9,46,3,1806.37
2024-09-04,10,28,0,0.0
2024-09-04,11,20,1,1215.04
2024-09-04,12,13,0,0.0
2024-09-05,1,271,5,2856.78
2024-09-05,2,153,2,1723.92
2024-09-05,3,80,3,2214.07
2024-09-05,4,95,0,0.0
2024-09-05,5,56,3,2440.58
2024-09-05,6,59,1,561.22
2024-09-05,7,51,2,1676.06
2024-09-05,8,51,2,537.75
2024-09-05,9,72,1,233.33
2024-09-05,10,46,2,1038.45
2024-09-05,11,33,0,0.0
2024-09-05,12,19,0,0.0
2024-09-06,1,286,4,3250.63
2024-09-06,2,159,6,4083.44
2024-09-06,3,84,3,2818.43
2024-09-06,4,93,2,1772.26
2024-09-06,5,76,0,0.0
2024-09-06,6,62,3,1580.95
2024-09-06,7,55,1,1874.16
2024-09-06,8,52,3,2758.73
2024-09-06,9,79,2,981.02
2024-09-06,10,52,4,1833.75
2024-09-06,11,29,1,345.42
2024-09-06,12,21,0,0.0
