date,rooms_available,rooms_occupied,occupancy_rate,adr,revpar,room_revenue,bookings_made,cancellations
2024-09-01,74,58,0.7838,301.17,236.05,17467.86,41,3
2024-09-02,74,60,0.8108,295.51,239.6,17730.6,17,1
2024-09-03,74,59,0.7973,282.52,225.25,16668.68,22,5
2024-09-04,74,49,0.6622,281.2,186.2,13778.8,19,4
2024-09-05,74,51,0.6892,280.55,193.35,14308.05,21,4
2024-09-06,74,73,0.9865,307.12,302.97,22419.76,29,4
2024-09-07,74,74,1.0,308.26,308.26,22811.24,32,1
2024-09-08,74,74,1.0,301.29,301.29,22295.46,20,2
2024-09-09,74,68,0.9189,294.77,270.87,20044.36,17,2
2024-09-10,74,47,0.6351,285.89,181.58,13436.83,21,2
2024-09-11,74,43,0.5811,284.61,165.38,12238.23,23,0
2024-09-12,74,54,0.7297,281.44,205.38,15197.76,35,5
2024-09-13,74,59,0.7973,295.85,235.88,17455.15,21,3
2024-09-14,74,73,0.9865,303.95,299.84,22188.35,18,2
2024-09-15,74,57,0.7703,292.87,225.59,16693.59,32,1
2024-09-16,74,58,0.7838,287.16,225.07,16655.28,33,4
2024-09-17,74,46,0.6216,275.46,171.23,12671.16,25,2
2024-09-18,74,51,0.6892,269.61,185.81,13750.11,23,4
2024-09-19,74,57,0.7703,271.14,208.85,15454.98,25,2
2024-09-20,74,68,0.9189,293.23,269.45,19939.64,26,4
2024-09-21,74,69,0.9324,295.4,275.44,20382.6,34,6
2024-09-22,74,62,0.8378,290.05,243.01,17983.1,15,1
2024-09-23,74,69,0.9324,274.89,256.32,18967.41,18,3
2024-09-24,74,54,0.7297,265.37,193.65,14329.98,22,2
2024-09-25,74,44,0.5946,268.46,159.62,11812.24,29,5
2024-09-26,74,55,0.7432,264.72,196.75,14559.6,35,6
2024-09-27,74,65,0.8784,282.15,247.83,18339.75,23,3
2024-09-28,74,74,1.0,290.15,290.15,21471.1,23,1
2024-09-29,74,63,0.8514,286.64,244.03,18058.32,23,4
2024-09-30,74,57,0.7703,280.5,216.06,15988.5,17,2
2024-10-01,74,43,0.5811,265.53,154.29,11417.79,22,3
2024-10-02,74,41,0.5541,260.86,144.53,10695.26,26,5
2024-10-03,74,40,0.5405,260.98,141.07,10439.2,20,2
2024-10-04,74,51,0.6892,277.28,191.1,14141.28,22,1
2024-10-05,74,56,0.7568,286.15,216.55,16024.4,19,2
2024-10-06,74,42,0.5676,281.71,159.89,11831.82,16,2
2024-10-07,74,35,0.473,269.97,127.69,9448.95,21,4
2024-10-08,74,34,0.4595,263.59,121.11,8962.06,24,3
2024-10-09,74,29,0.3919,250.93,98.34,7276.97,22,3
2024-10-10,74,36,0.4865,256.09,124.58,9219.24,22,4
2024-10-11,74,59,0.7973,266.86,212.77,15744.74,17,0
2024-10-12,74,60,0.8108,275.27,223.19,16516.2,20,1
2024-10-13,74,46,0.6216,268.3,166.78,12341.8,19,1
2024-10-14,74,41,0.5541,261.99,145.16,10741.59,14,2
2024-10-15,74,40,0.5405,261.49,141.35,10459.6,19,2
2024-10-16,74,39,0.527,250.75,132.15,9779.25,28,3
2024-10-17,74,40,0.5405,242.63,131.15,9705.2,26,2
2024-10-18,74,41,0.5541,257.72,142.79,10566.52,15,4
2024-10-19,74,41,0.5541,265.26,146.97,10875.66,23,2
2024-10-20,74,44,0.5946,253.14,150.52,11138.16,25,5
2024-10-21,74,41,0.5541,245.94,136.26,10083.54,16,0
2024-10-22,74,36,0.4865,243.14,118.28,8753.04,16,0
2024-10-23,74,35,0.473,242.86,114.87,8500.1,22,2
2024-10-24,74,38,0.5135,248.31,127.51,9435.78,17,3
2024-10-25,74,66,0.8919,258.93,230.94,17089.38,20,4
2024-10-26,74,72,0.973,257.14,250.19,18514.08,17,4
2024-10-27,74,55,0.7432,247.59,184.02,13617.45,18,3
2024-10-28,74,51,0.6892,245.18,168.98,12504.18,25,1
2024-10-29,74,50,0.6757,237.35,160.37,11867.5,29,1
2024-10-30,74,39,0.527,230.79,121.63,9000.81,19,3
2024-10-31,74,39,0.527,225.5,118.84,8794.5,11,2
2024-11-01,74,58,0.7838,237.99,186.53,13803.42,20,1
2024-11-02,74,66,0.8919,240.45,214.46,15869.7,30,1
2024-11-03,74,48,0.6486,232.74,150.97,11171.52,13,0
2024-11-04,74,42,0.5676,225.24,127.84,9460.08,19,0
2024-11-05,74,36,0.4865,222.35,108.17,8004.6,14,0
2024-11-06,74,28,0.3784,210.74,79.74,5900.72,21,0
2024-11-07,74,32,0.4324,217.63,94.11,6964.16,18,1
2024-11-08,74,37,0.5,224.53,112.27,8307.61,16,1
2024-11-09,74,43,0.5811,230.07,133.69,9893.01,22,3
2024-11-10,74,40,0.5405,227.4,122.92,9096.0,7,0
2024-11-11,74,41,0.5541,222.02,123.01,9102.82,22,1
2024-11-12,74,35,0.473,212.36,100.44,7432.6,15,1
2024-11-13,74,28,0.3784,203.45,76.98,5696.6,15,4
2024-11-14,74,30,0.4054,213.41,86.52,6402.3,19,2
2024-11-15,74,42,0.5676,223.58,126.9,9390.36,15,1
2024-11-16,74,44,0.5946,225.01,133.79,9900.44,16,1
2024-11-17,74,44,0.5946,216.17,128.53,9511.48,13,2
2024-11-18,74,40,0.5405,214.56,115.98,8582.4,13,2
2024-11-19,74,35,0.473,202.67,95.86,7093.45,19,2
2024-11-20,74,35,0.473,200.48,94.82,7016.8,21,1
2024-11-21,74,28,0.3784,199.05,75.32,5573.4,14,3
2024-11-22,74,41,0.5541,210.19,116.46,8617.79,12,1
2024-11-23,74,47,0.6351,215.74,137.02,10139.78,15,1
2024-11-24,74,45,0.6081,205.49,124.96,9247.05,21,1
2024-11-25,74,43,0.5811,199.25,115.78,8567.75,13,3
2024-11-26,74,40,0.5405,191.28,103.39,7651.2,12,1
2024-11-27,74,35,0.473,189.32,89.54,6626.2,14,1
2024-11-28,74,31,0.4189,194.09,81.31,6016.79,17,3
2024-11-29,74,46,0.6216,196.88,122.38,9056.48,11,0
2024-11-30,74,48,0.6486,201.15,130.48,9655.2,15,4
2024-12-01,74,51,0.6892,197.85,136.36,10090.35,17,3
2024-12-02,74,49,0.6622,190.8,126.34,9349.2,15,1
2024-12-03,74,41,0.5541,188.2,104.27,7716.2,14,2
2024-12-04,74,28,0.3784,179.93,68.08,5038.04,10,1
2024-12-05,74,25,0.3378,179.45,60.62,4486.25,15,2
2024-12-06,74,31,0.4189,189.15,79.24,5863.65,15,0
2024-12-07,74,38,0.5135,192.83,99.02,7327.54,11,3
2024-12-08,74,41,0.5541,188.54,104.46,7730.14,14,1
2024-12-09,74,32,0.4324,187.45,81.06,5998.4,16,0
2024-12-10,74,23,0.3108,183.13,56.92,4211.99,10,2
2024-12-11,74,16,0.2162,172.2,37.23,2755.2,14,0
2024-12-12,74,17,0.2297,166.96,38.36,2838.32,19,0
2024-12-13,74,20,0.2703,173.98,47.02,3479.6,15,1
2024-12-14,74,28,0.3784,185.16,70.06,5184.48,15,0
2024-12-15,74,25,0.3378,173.82,58.72,4345.5,12,0
2024-12-16,74,17,0.2297,171.7,39.44,2918.9,10,0
2024-12-17,74,22,0.2973,169.32,50.34,3725.04,13,1
2024-12-18,74,24,0.3243,169.72,55.04,4073.28,13,2
2024-12-19,74,20,0.2703,169.91,45.92,3398.2,24,3
2024-12-20,74,31,0.4189,179.05,75.01,5550.55,9,2
2024-12-21,74,40,0.5405,175.73,94.99,7029.2,14,1
2024-12-22,74,31,0.4189,165.9,69.5,5142.9,16,2
2024-12-23,74,20,0.2703,168.79,45.62,3375.8,15,2
2024-12-24,74,14,0.1892,155.49,29.42,2176.86,17,3
2024-12-25,74,18,0.2432,159.42,38.78,2869.56,12,1
2024-12-26,74,18,0.2432,157.93,38.42,2842.74,19,2
2024-12-27,74,27,0.3649,165.61,60.43,4471.47,10,2
2024-12-28,74,32,0.4324,165.34,71.5,5290.88,16,1
2024-12-29,74,38,0.5135,162.41,83.4,6171.58,14,0
2024-12-30,74,33,0.4459,161.56,72.05,5331.48,11,3
2024-12-31,74,24,0.3243,155.92,50.57,3742.08,13,2
2025-01-01,74,25,0.3378,152.85,51.64,3821.25,9,2
2025-01-02,74,33,0.4459,161.18,71.88,5318.94,15,4
2025-01-03,74,34,0.4595,166.44,76.47,5658.96,8,0
2025-01-04,74,39,0.527,171.47,90.37,6687.33,19,1
2025-01-05,74,33,0.4459,166.88,74.42,5507.04,20,5
2025-01-06,74,22,0.2973,167.19,49.71,3678.18,19,0
2025-01-07,74,24,0.3243,162.17,52.6,3892.08,15,3
2025-01-08,74,26,0.3514,157.35,55.29,4091.1,17,3
2025-01-09,74,27,0.3649,159.08,58.04,4295.16,8,3
2025-01-10,74,31,0.4189,163.42,68.46,5066.02,13,2
2025-01-11,74,34,0.4595,166.88,76.67,5673.92,20,1
2025-01-12,74,34,0.4595,160.79,73.88,5466.86,13,0
2025-01-13,74,25,0.3378,162.35,54.85,4058.75,15,0
2025-01-14,74,18,0.2432,160.0,38.92,2880.0,16,2
2025-01-15,74,19,0.2568,156.76,40.25,2978.44,8,0
2025-01-16,74,24,0.3243,154.49,50.1,3707.76,19,3
2025-01-17,74,28,0.3784,163.82,61.99,4586.96,23,1
2025-01-18,74,41,0.5541,167.97,93.06,6886.77,10,1
2025-01-19,74,35,0.473,161.48,76.38,5651.8,19,1
2025-01-20,74,29,0.3919,157.86,61.86,4577.94,10,1
2025-01-21,74,17,0.2297,155.86,35.81,2649.62,17,1
2025-01-22,74,14,0.1892,148.21,28.04,2074.94,22,2
2025-01-23,74,24,0.3243,155.19,50.33,3724.56,15,2
2025-01-24,74,25,0.3378,160.93,54.37,4023.25,16,3
2025-01-25,74,31,0.4189,166.95,69.94,5175.45,19,3
2025-01-26,74,27,0.3649,157.72,57.55,4258.44,18,2
2025-01-27,74,27,0.3649,154.24,56.28,4164.48,13,0
2025-01-28,74,27,0.3649,151.36,55.23,4086.72,22,2
2025-01-29,74,32,0.4324,153.13,66.22,4900.16,14,1
2025-01-30,74,36,0.4865,158.16,76.94,5693.76,13,0
2025-01-31,74,40,0.5405,164.95,89.16,6598.0,15,3
2025-02-01,74,33,0.4459,173.44,77.34,5723.52,15,2
2025-02-02,74,30,0.4054,172.12,69.78,5163.6,15,5
2025-02-03,74,32,0.4324,164.61,71.18,5267.52,26,4
2025-02-04,74,28,0.3784,160.31,60.66,4488.68,13,1
2025-02-05,74,22,0.2973,158.33,47.07,3483.26,20,2
2025-02-06,74,25,0.3378,164.2,55.47,4105.0,22,1
2025-02-07,74,36,0.4865,176.72,85.97,6361.92,14,3
2025-02-08,74,36,0.4865,181.61,88.35,6537.96,22,1
2025-02-09,74,30,0.4054,176.62,71.6,5298.6,24,2
2025-02-10,74,33,0.4459,168.3,75.05,5553.9,17,4
2025-02-11,74,30,0.4054,163.53,66.3,4905.9,17,0
2025-02-12,74,32,0.4324,162.16,70.12,5189.12,15,2
2025-02-13,74,30,0.4054,171.51,69.53,5145.3,20,2
2025-02-14,74,37,0.5,182.73,91.36,6761.01,14,0
2025-02-15,74,51,0.6892,191.57,132.03,9770.07,20,1
2025-02-16,74,37,0.5,189.76,94.88,7021.12,22,4
2025-02-17,74,35,0.473,187.93,88.89,6577.55,15,3
2025-02-18,74,30,0.4054,183.02,74.2,5490.6,27,1
2025-02-19,74,30,0.4054,185.47,75.19,5564.1,19,3
2025-02-20,74,28,0.3784,178.94,67.71,5010.32,14,2
2025-02-21,74,43,0.5811,193.25,112.29,8309.75,29,1
2025-02-22,74,44,0.5946,195.56,116.28,8604.64,26,5
2025-02-23,74,46,0.6216,186.15,115.71,8562.9,23,0
2025-02-24,74,45,0.6081,184.16,111.99,8287.2,25,2
2025-02-25,74,36,0.4865,178.75,86.96,6435.0,21,2
2025-02-26,74,28,0.3784,181.09,68.52,5070.52,18,2
2025-02-27,74,25,0.3378,185.46,62.66,4636.5,28,1
2025-02-28,74,34,0.4595,194.16,89.21,6601.44,25,2
2025-03-01,74,41,0.5541,201.2,111.48,8249.2,14,2
2025-03-02,74,36,0.4865,198.37,96.5,7141.32,28,4
2025-03-03,74,38,0.5135,197.67,101.51,7511.46,24,1
2025-03-04,74,25,0.3378,194.87,65.83,4871.75,16,3
2025-03-05,74,25,0.3378,191.09,64.56,4777.25,25,5
2025-03-06,74,24,0.3243,189.24,61.38,4541.76,25,0
2025-03-07,74,43,0.5811,211.19,122.72,9081.17,25,2
2025-03-08,74,60,0.8108,220.94,179.14,13256.4,27,3
2025-03-09,74,59,0.7973,212.96,169.79,12564.64,16,2
2025-03-10,74,51,0.6892,205.65,141.73,10488.15,20,3
2025-03-11,74,40,0.5405,206.19,111.45,8247.6,16,0
2025-03-12,74,37,0.5,202.1,101.05,7477.7,30,3
2025-03-13,74,34,0.4595,202.52,93.05,6885.68,28,3
2025-03-14,74,43,0.5811,222.75,129.44,9578.25,27,3
2025-03-15,74,51,0.6892,222.17,153.12,11330.67,27,4
2025-03-16,74,39,0.527,221.05,116.5,8620.95,36,5
2025-03-17,74,37,0.5,214.98,107.49,7954.26,25,4
2025-03-18,74,28,0.3784,213.65,80.84,5982.2,20,1
2025-03-19,74,29,0.3919,206.17,80.8,5978.93,31,6
2025-03-20,74,32,0.4324,209.44,90.57,6702.08,27,1
2025-03-21,74,45,0.6081,232.81,141.57,10476.45,28,2
2025-03-22,74,43,0.5811,237.8,138.18,10225.4,33,4
2025-03-23,74,42,0.5676,226.75,128.7,9523.5,33,2
2025-03-24,74,42,0.5676,225.71,128.11,9479.82,26,3
2025-03-25,74,30,0.4054,225.41,91.38,6762.3,31,4
2025-03-26,74,28,0.3784,228.39,86.42,6394.92,29,3
2025-03-27,74,25,0.3378,227.04,76.7,5676.0,31,4
2025-03-28,74,34,0.4595,239.86,110.21,8155.24,31,2
2025-03-29,74,50,0.6757,245.72,166.03,12286.0,29,2
2025-03-30,74,55,0.7432,239.39,177.92,13166.45,28,4
2025-03-31,74,47,0.6351,235.23,149.4,11055.81,30,2
2025-04-01,74,44,0.5946,232.94,138.5,10249.36,34,6
2025-04-02,74,39,0.527,230.63,121.55,8994.57,24,5
2025-04-03,74,46,0.6216,234.34,145.67,10779.64,31,0
2025-04-04,74,62,0.8378,249.9,209.38,15493.8,29,10
2025-04-05,74,66,0.8919,255.14,227.56,16839.24,42,4
2025-04-06,74,58,0.7838,248.26,194.58,14399.08,48,5
2025-04-07,74,61,0.8243,242.97,200.29,14821.17,34,4
2025-04-08,74,42,0.5676,240.39,136.44,10096.38,34,2
2025-04-09,74,27,0.3649,237.47,86.64,6411.69,41,3
2025-04-10,74,38,0.5135,242.96,124.76,9232.48,35,0
2025-04-11,74,49,0.6622,262.96,174.12,12885.04,33,2
2025-04-12,74,55,0.7432,268.02,199.2,14741.1,30,3
2025-04-13,74,55,0.7432,258.87,192.4,14237.85,26,4
2025-04-14,74,49,0.6622,250.83,166.09,12290.67,41,6
2025-04-15,74,35,0.473,241.88,114.4,8465.8,33,0
2025-04-16,74,46,0.6216,241.92,150.38,11128.32,28,4
2025-04-17,74,58,0.7838,252.75,198.1,14659.5,44,6
2025-04-18,74,62,0.8378,263.31,220.61,16325.22,46,2
2025-04-19,74,72,0.973,273.8,266.4,19713.6,31,3
2025-04-20,74,69,0.9324,268.04,249.93,18494.76,32,2
2025-04-21,74,52,0.7027,259.97,182.68,13518.44,36,6
2025-04-22,74,56,0.7568,257.1,194.56,14397.6,32,2
2025-04-23,74,51,0.6892,260.13,179.28,13266.63,33,4
2025-04-24,74,48,0.6486,261.15,169.39,12535.2,31,5
2025-04-25,74,66,0.8919,279.35,249.15,18437.1,40,5
2025-04-26,74,65,0.8784,287.93,252.91,18715.45,31,5
2025-04-27,74,65,0.8784,281.07,246.89,18269.55,28,5
2025-04-28,74,58,0.7838,269.65,211.35,15639.7,28,8
2025-04-29,74,46,0.6216,268.08,166.64,12331.68,34,9
2025-04-30,74,38,0.5135,266.41,136.81,10123.58,28,3
2025-05-01,74,44,0.5946,267.28,158.92,11760.32,32,6
2025-05-02,74,69,0.9324,286.5,267.14,19768.5,32,3
2025-05-03,74,67,0.9054,293.19,265.46,19643.73,27,4
2025-05-04,74,50,0.6757,286.05,193.28,14302.5,30,1
2025-05-05,74,48,0.6486,272.2,176.56,13065.6,38,7
2025-05-06,74,41,0.5541,273.14,151.33,11198.74,33,7
2025-05-07,74,41,0.5541,273.4,151.48,11209.4,42,5
2025-05-08,74,38,0.5135,267.97,137.61,10182.86,32,1
2025-05-09,74,63,0.8514,295.14,251.27,18593.82,31,5
2025-05-10,74,59,0.7973,304.51,242.78,17966.09,36,3
2025-05-11,74,43,0.5811,289.73,168.36,12458.39,24,2
2025-05-12,74,43,0.5811,284.33,165.22,12226.19,27,1
2025-05-13,74,44,0.5946,275.95,164.08,12141.8,31,5
2025-05-14,74,43,0.5811,272.93,158.59,11735.99,31,6
2025-05-15,74,55,0.7432,271.81,202.02,14949.55,39,5
2025-05-16,74,65,0.8784,286.22,251.41,18604.3,24,2
2025-05-17,74,69,0.9324,305.62,284.97,21087.78,43,8
2025-05-18,74,56,0.7568,298.23,225.69,16700.88,37,4
2025-05-19,74,49,0.6622,293.28,194.2,14370.72,32,3
2025-05-20,74,43,0.5811,293.04,170.28,12600.72,37,7
2025-05-21,74,42,0.5676,282.53,160.35,11866.26,32,4
2025-05-22,74,45,0.6081,281.34,171.09,12660.3,29,6
2025-05-23,74,74,1.0,312.05,312.05,23091.7,27,3
2025-05-24,74,74,1.0,316.1,316.1,23391.4,29,5
2025-05-25,74,74,1.0,304.55,304.55,22536.7,38,5
2025-05-26,74,74,1.0,299.53,299.53,22165.22,39,6
2025-05-27,74,61,0.8243,296.88,244.73,18109.68,36,3
2025-05-28,74,57,0.7703,290.91,224.08,16581.87,33,4
2025-05-29,74,61,0.8243,288.14,237.52,17576.54,29,3
2025-05-30,74,74,1.0,308.42,308.42,22823.08,21,4
2025-05-31,74,74,1.0,315.11,315.11,23318.14,33,4
2025-06-01,74,62,0.8378,305.24,255.74,18924.88,27,2
2025-06-02,74,52,0.7027,299.66,210.57,15582.32,24,3
2025-06-03,74,51,0.6892,300.14,206.85,15307.14,34,2
2025-06-04,74,48,0.6486,292.24,189.56,14027.52,30,2
2025-06-05,74,59,0.7973,296.86,236.69,17514.74,34,1
2025-06-06,74,65,0.8784,313.81,275.64,20397.65,34,6
2025-06-07,74,74,1.0,324.12,324.12,23984.88,46,9
2025-06-08,74,65,0.8784,311.55,273.66,20250.75,28,2
2025-06-09,74,47,0.6351,304.7,193.53,14320.9,36,6
2025-06-10,74,46,0.6216,296.36,184.22,13632.56,30,4
2025-06-11,74,43,0.5811,289.59,168.28,12452.37,35,2
2025-06-12,74,57,0.7703,295.77,227.82,16858.89,26,3
2025-06-13,74,74,1.0,315.05,315.05,23313.7,33,4
2025-06-14,74,74,1.0,325.68,325.68,24100.32,24,6
2025-06-15,74,70,0.9459,312.85,295.94,21899.5,36,3
2025-06-16,74,69,0.9324,307.27,286.51,21201.63,27,1
2025-06-17,74,58,0.7838,299.8,234.98,17388.4,28,1
2025-06-18,74,56,0.7568,292.1,221.05,16357.6,31,2
